Job Title,Job URL,Company,Location,Job Description,required_skills
IT Development Intern,https://id.jobstreet.com/id/job/91627364?type=standard&ref=search-standalone&origin=cardTitle#sol=187191a3a8f2fb4dbb750dd625f2ef2f99633dde,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,"Detail Pekerjaan: | Membantu dalam pengkodean, pengujian, dan debugging aplikasi atau sistem yang sedang dikembangkan oleh tim. | Membuat dan memperbarui dokumentasi teknis untuk perangkat lunak atau sistem. | Menulis panduan pengguna dan manual teknis. | Melakukan query SQL untuk membuat laporan dan checking data. | Kualifikasi: | Mahasiswa semester akhir atau fresh graduate dari jurusan Teknik Informatika, Ilmu Komputer, Sistem Informasi, atau jurusan terkait lainnya. | Penguasaan Bahasa Pemrograman seperti Java dan JavaScript, beserta familiar dengan RDBMS (Relational Database Management System). | Komitmen pada jadwal kerja yang telah ditentukan oleh perusahaan selama periode magang. | Mampu melakukan dokumentasi teknis dan familiar dalam teknologi aplikasi mobile menjadi nilai tambah.","[""SQL"", ""Java"", ""JavaScript""]"
ERP Support (Accounting System) / IT Support - Jurnal,https://id.jobstreet.com/id/job/91396880?type=standard&ref=search-standalone&origin=cardTitle#sol=290c1d74f5c549a77665871f2022be60790fa4ed,PT Brothersindo Saudara Sejati,Surakarta,"Job Description (Tanggung Jawab) | - Mengoperasikan dan mengelola sistem ERP, khususnya Mekari Jurnal untuk kebutuhan administrasi dan accounting. | - Melakukan input, pengecekan, dan validasi data transaksi keuangan di sistem. | - Memastikan data pada sistem sesuai dengan proses bisnis dan standar akuntansi. | - Berkoordinasi dengan tim Finance/Accounting terkait kebutuhan data dan proses di sistem. | - Memberikan support teknis terkait penggunaan sistem kepada user (internal). | - Membantu troubleshooting apabila terjadi kendala pada sistem ERP. | - Melakukan monitoring dan maintenance ringan terhadap sistem yang digunakan. | - Mendokumentasikan proses dan alur kerja sistem (SOP/flow). | - Berkoordinasi dengan tim IT untuk pengembangan atau improvement sistem. | Kualifikasi | - Pendidikan minimal D3/S1 di bidang Accounting, Sistem Informasi, atau IT / bidang terkait. | - Memiliki basic knowledge Accounting (Jurnal, Laporan Keuangan, dll). | - Terbiasa menggunakan ERP / software accounting (lebih disukai terutama Mekari Jurnal). | - Teliti, rapi dan memiliki attention to detail yg baik. | - Mampu bekerja secara tim maupun individu. | - Komunikatif dan memiliki kempuan problem solving yg baik. | - Nilai plus jika memiliki pengalaman di bidang administrasi keuangan / finance. | - Bersedia ditempatkan di Solo.","[""Troubleshooting""]"
ICT Infrastructure Lead,https://id.jobstreet.com/id/job/91747833?type=standard&ref=search-standalone&origin=cardTitle#sol=018aa3be0507bc8493af2c81711188cfb263a626,Talent Search Recruitment Consultant,Jakarta Raya,"We know what you looking for Amazing Tech Talent. | Stable company. | Convenient company. | A company that understands and accepts input from its employees. | Our clients can meet your expectations. They are is a global company that specializes in user-driven technology | What they give : | Flexibility working and remote working | Good benefit and insurance | Laptop facility | If your meet this qualifications : | 2 years mastering in Nutanix | Experience in Palo Alto more than 1 year experience | Experience in Active Directory | Experience in Azure AD and Azure Cloud | What you will do in here : | Monitor, troubleshoot, and escalate problems affecting the company infrastructure. | Supervise and ensure company infrastructure comply with internal standard and industry best practice. | Install, configure & manage VMware ESXi and Nutanix AHV infrastructure. | Conduct audits on all storage, server and network equipment to ensure appropriate configuration. | Ensure network connectivity throughout a company’s LAN/WAN infrastructure is on par with technical considerations. | Administer routers, switches, firewalls, security updates and patches for network systems. | Please proceed to the apply menu for the next process. | or fly your resume to email: | asih@talentsearch.co.id","[""Azure""]"
Research Intern - AI for Science,https://id.jobstreet.com/id/job/91456298?type=standard&ref=search-standalone&origin=cardTitle#sol=5d1970bec7898e4528351bd2db7a41277f835342,PT Sea Group,Indonesia,"Sea group is seeking research interns to join Sea AI Lab (SAIL). SAIL focuses on fundamental research and application research on Artificial Intelligence (AI), which include deep learning, reinforcement learning, computer vision, natural language processing, etc. Our research interns have an opportunity to make core algorithmic advances and apply their ideas at the core research projects at SAIL. This internship has a minimum 6-month duration. The ideal candidate should have an enthusiasm in advancing the understanding of intelligence and a passion for ambitious breakthroughs in AI. To learn more about our research and our lab, please visit https://sail.sea.com/ | We are seeking research interns to work at AI and scientific computing, with a particular focus on first-principles calculations and their algorithmic applications in materials science and chemistry. Research areas include, but are not limited to: | Large-scale quantum chemistry algorithms and software development | CUDA kernel development | Algorithm development and application of machine learning force fields | Application of LLMs in materials science | Data-driven materials and molecular discovery | You will be expected to publish influential research in top-tier academic journals and conferences. | Master's or Ph.D. candidates in Computer Science, Computer Engineering, Artificial Intelligence, Mathematics, Computational Physics, Computational Chemistry, or other related quantitative disciplines. | Strong programming skills in Python and/or other languages. | Familiar with at least one differentiable computing framework (e.g., JAX, PyTorch, etc.). | Experience with GPU kernel development tools such as CUDA or Triton is preferred. | Knowledge of first-principles computational methods, such as Density Functional Theory (DFT) or Quantum Monte Carlo (QMC) is preferred. | First-author or co-authored top-tier publications in relevant fields (e.g., NeurIPS, ICML, ICLR, Physical Review series, Nature research series journals, JCTC, JCP, etc.) is preferred. | Able to commit a minimum of 6 months full time/part time","[""Python"", ""Machine Learning"", ""Deep Learning"", ""PyTorch""]"
Junior Project Manager (AI/ ML) - Asian market,https://id.jobstreet.com/id/job/87401051?type=standard&ref=search-standalone&origin=cardTitle#sol=98746ca23500f3d283f6bb8c310ce27d0256d4a3,TSMG,Jakarta Raya,"Primary Responsibilities | Lead end-to-end project management for technology and AI initiatives, including planning, execution, monitoring, and delivery. | Define project scope, objectives, deliverables, and timelines in collaboration with stakeholders. | Coordinate cross-functional teams (engineering, data science, product, operations) to ensure smooth execution. | Monitor risks, dependencies, and performance metrics, providing solutions to keep projects on track. | Communicate progress, challenges, and results clearly to stakeholders and senior leadership. | Ensure compliance with ethical, data privacy, and security standards in AI and tech projects. | Support adoption and integration of AI tools into existing processes and workflows. | Stay updated on emerging technologies and AI trends to provide strategic input for project planning.",[]
Business Analyst,https://id.jobstreet.com/id/job/91780458?type=standard&ref=search-standalone&origin=cardTitle#sol=c6312a30baabb9616b28eb29362c5b826fded9b6,PT Infracom Technology,Jakarta Pusat,"We are looking for a | Business Analyst | to support the design and development of internal application systems and to collaborate closely with developers and business users. | Qualification Required | Bachelor’s degree | in Information Technology, Information Systems, Business, or a related field | Familiar with | SDLC | , | Agile/Scrum | , and | Waterfall | methodologies | Experience using analysis tools such as | Power BI, SAP, Python Graph | , or similar | Understanding of | API integration | Knowledge of | UI/UX prototyping and design | is a plus | Experience or knowledge in | Augmented Analytics and AI | is a plus | Good communication skills | Strong | critical thinking and problem‑solving | skills | Main Duties & Responsibilities | Act as a | Business Analyst | for designing internal application systems | Serve as a | bridge between internal developers and users | during project execution | Ensure all | project documentation | is complete, accurate, and aligned with standard procedures","[""Python"", ""UI/UX"", ""Prototyping"", ""API"", ""Power BI"", ""Agile"", ""Scrum""]"
Data Center Technician - Indonesia - West Jakarta - On-site,https://id.jobstreet.com/id/job/91366683?type=standard&ref=search-standalone&origin=cardTitle#sol=118fad43f1e514d7ccbdc5d789457e0c61f06717,RM Staffing B.V.,Kalideres,"About the Role | Join our team as a | Data Center Technician | in | West Jakarta, Indonesia | . This is a full-time, on-site position where you'll support critical infrastructure at world-class data center facilities. | Compensation & Benefits | Rp175,000,000-250,000,000/year | (IDR annual) | Comprehensive benefits package including: | Health, dental, and vision insurance | Paid time off and holidays | Professional development allowance | Certification sponsorship | Work Schedule | Full-time permanent position | Standard business hours with on-call rotation | Shift differentials for nights/weekends when applicable | Key Responsibilities | Install, configure, and maintain server and network equipment | Perform structured cabling (copper and fiber optic) | Execute hardware deployments and decommissions | Monitor environmental systems (power, cooling, security) | Respond to incidents and perform troubleshooting | Maintain accurate documentation and asset tracking | Collaborate with engineering and operations teams | Participate in capacity planning and upgrades | 3+ years data center operations experience | Expert cabling skills (Cat6/6a, OM3/OM4/OS2 fiber) | Strong troubleshooting and problem-solving abilities | Experience with rack and stack operations | Understanding of power distribution and UPS systems | Excellent documentation and communication skills | Ability to lift 50+ lbs and work in demanding environments | Data center certifications (CDCP, CDCS, CDCE) - preferred | Vendor certifications (Dell, HPE, Cisco) - preferred | Network certifications (CCNA, JNCIA) - preferred | Experience with DCIM platforms - preferred | Knowledge of ITIL practices - preferred","[""Cisco"", ""CCNA"", ""Troubleshooting""]"
Structural Welder,https://id.jobstreet.com/id/job/90407575?type=standard&ref=search-standalone&origin=cardTitle#sol=dcbf2d5fe722dfbc1f30ec3eea60a3741fd8fa42,PT. Prada Sinergi Bersama,Jakarta Raya,"Please be informed that we’re launching a hiring campaign of SMAW welders. | Total: 84 welders will be selected and hired. | The new welders will be assigned to COMP-2 project in Qatar, vessel DEHE. | Application: | Up to date CV + recent welding certificates uploaded in NCore (link will be sent soon). | Applications submitted for the March campaign, candidates who remain interested and available may be resubmitted for this campaign using the new link. | Based on the applications /CVs, selected candidates will be invited to the new Welding School in Thailand (TWS) for Manual SMAW testing | , | date:  30 June – 10th July, 2025 | We’ll take care of hotel, full board, transfer during the testing. | Rg the flight booking we’ll ask your assistance same as we did last time. | Please find the job profile below, the same is set up in NCore: | 5-8 years experience in manual welding. | Experience in piping SMAW is mandatory. | Experience preferably in Oil and Gas Industries or Nuclear or | Fabrication yard, shipyard, offshore structure, Jacket and Deck, offshore pipeline, etc. | (no automotive, spatial, steel carpentry) | Experience with automatic orbital welding system is a plus. | Offshore experience in pipelines with automatic systems is a plus. | English skills – min A2 level | Skills: | SMAW (all position on pipe). | Manual STT welding process. | FCAW (all position on pipe). | Welding positions at least: 5G, 6G or 6GR. | Fillet welding 1F, 2F, 3F, 4F etc.. | experience with large electrodes (6 - 6.4 mm) is an advantage | Experience with Materials: | Carbon steel flowline | Clad | Iconel 625/825 | Stainless steel 314L, 316L | Duplex | Contractual terms for candidates selected for hiring: | Salary: 2’380 USD CM | Rotation: 165/30 | Working hours: 12 hours / 7 days | Should you have any questions, please feel free to contact me. | Thank you.",[]
Manager IT (Software Engineer),https://id.jobstreet.com/id/job/91648924?type=standard&ref=search-standalone&origin=cardTitle#sol=c3b56d2f9eef790be18f281adcc1c185639f16f7,PT. Bangunjaya Prima Nusantara,Medan,"Tanggung Jawab Utama | Terlibat langsung dalam proses development (hands-on coding bila diperlukan) | Mendesain arsitektur sistem yang scalable, secure, dan maintainable | Melakukan code review dan memastikan kualitas kode | Mengatur timeline project dan memastikan delivery tepat waktu | Berkoordinasi dengan stakeholder (product, bisnis, vendor) | Mengelola deployment, monitoring, dan maintenance sistem | Mengidentifikasi dan mengimplementasikan teknologi baru yang relevan | Kualifikasi Wajib | Pendidikan minimal S1 di bidang IT / Computer Science atau setara | Pengalaman minimal 3–5 tahun di software development | Menguasai | Fullstack Development | , termasuk: | Backend: Ruby on Rails atau Framework MVC lainnya | Frontend: Next.js atau Framework Javascript lainnya | Memahami REST API, WebSocket, dan integrasi sistem | Berpengalaman dengan database PostgreSQL | Familiar dengan Git dan workflow (CI/CD) | Strong problem-solving dan analytical thinking | Kualifikasi Tambahan (Nilai Plus) | Pengalaman integrasi dengan IoT dengan protokol MQTT & Modbus | Memiliki pengalaman di Ruby on Rails dan Next.js","[""JavaScript"", ""Ruby"", ""Next.js"", ""Ruby on Rails"", ""Git"", ""CI/CD"", ""PostgreSQL"", ""API"", ""REST API""]"
Full Stack Web Develover,https://id.jobstreet.com/id/job/91354053?type=standard&ref=search-standalone&origin=cardTitle#sol=ae7c570eee2a4317d6e418feb444d046a42de376,PT Quantum Nusatama,Kemayoran,"Menguasai : - Laravel Framework Minimial(11.31) Ke bawah - MYSQL (DDL) - Terbiasa Menggunakan Repository Github - Memahami Server Hostinger - Configuration SSL - Maintenance Storage - Monitoring Storage Use (Grafana)
- - Tanpa Pengalaman Bekerja- Diploma- 21 - 25 Tahun- Terima kandidat tanpa foto diri- Terima kandidat dari mana saja","[""Laravel"", ""GitHub"", ""MySQL"", ""DDL""]"
